rank,score,badge_name,level_name,priority,l1_header,l2_category,l3_category,ibm_link,bp_link
54,10,webMethods Hybrid Integration Sales Foundation,L1-Foundation,new_paths,Automation Platform,Application Development & Integration,Application Integration,https://yourlearning.ibm.com/activity/PLAN-AD7F98AAE1C9,https://learn.ibm.com/course/view.php?id=17986
55,10,webMethods API Management Sales Foundation,L1-Foundation,new_paths,Automation Platform,Application Development & Integration,Application Integration,https://yourlearning.ibm.com/activity/PLAN-54F5E309B5BC,https://learn.ibm.com/course/view.php?id=16971
56,10,webMethods Data Exchange Sales Foundation,L1-Foundation,new_paths,Automation Platform,Application Development & Integration,Application Integration,https://yourlearning.ibm.com/activity/PLAN-55C585615D00,https://learn.ibm.com/course/view.php?id=16926
57,10,webMethods Integration Sales Foundation,L1-Foundation,new_paths,Automation Platform,Application Development & Integration,Application Integration,https://yourlearning.ibm.com/activity/PLAN-E60B399DF57F,https://learn.ibm.com/course/view.php?id=16977
58,10,B2B Integration SaaS Sales Foundation,L1-Foundation,new_paths,Automation Platform,Application Development & Integration,B2B Integration,https://yourlearning.ibm.com/activity/PLAN-166350E167CD,https://learn.ibm.com/course/view.php?id=10086
59,10,Sterling Data Exchange Sales Foundation,L1-Foundation,new_paths,Automation Platform,Application Development & Integration,B2B Integration,https://yourlearning.ibm.com/activity/PLAN-2BCC55233252,https://learn.ibm.com/course/view.php?id=11822
60,10,webMethods Data Exchange Sales Foundation,L1-Foundation,new_paths,Automation Platform,Application Development & Integration,B2B Integration,https://yourlearning.ibm.com/activity/PLAN-55C585615D00,https://learn.ibm.com/course/view.php?id=16926
61,10,Engineering Lifecycle Management Sales Foundation,L1-Foundation,new_paths,Automation Platform,Application Development & Integration,Engineering Lifecycle Management,https://yourlearning.ibm.com/activity/PLAN-AC5F2C051280,https://learn.ibm.com/course/view.php?id=11947
62,10,Verify Sales Foundation,L1-Foundation,new_paths,Automation Platform,Infrastructure Automation,Identity & Access Management,https://yourlearning.ibm.com/activity/PLAN-A0A49C3FEE46,https://learn.ibm.com/course/view.php?id=12407
63,10,MaaS360 Mobile Security and Management Sales Foundation,L1-Foundation,new_paths,Automation Platform,Infrastructure Automation,Identity & Access Management,https://yourlearning.ibm.com/activity/PLAN-22524CDA355F,https://learn.ibm.com/course/view.php?id=11816
64,10,Trusteer Fraud Protection Sales Foundation,L1-Foundation,new_paths,Automation Platform,Infrastructure Automation,Identity & Access Management,https://yourlearning.ibm.com/activity/PLAN-EEBB297BF1D8,https://learn.ibm.com/course/view.php?id=11966
65,10,Verify Identity Access Sales Foundation,L1-Foundation,new_paths,Automation Platform,Infrastructure Automation,Identity & Access Management,https://yourlearning.ibm.com/activity/PLAN-F36A1C95EDDE,https://learn.ibm.com/course/view.php?id=12402
66,10,Verify Identity Governance Sales Foundation,L1-Foundation,new_paths,Automation Platform,Infrastructure Automation,Identity & Access Management,https://yourlearning.ibm.com/activity/PLAN-CC983A768C47,https://learn.ibm.com/course/view.php?id=12405
67,10,Verify Identity Protection Sales Foundation,L1-Foundation,new_paths,Automation Platform,Infrastructure Automation,Identity & Access Management,https://yourlearning.ibm.com/activity/PLAN-4C0B6709C6C1,https://learn.ibm.com/course/view.php?id=16886
68,10,Verify Privileged Identity Sales Foundation,L1-Foundation,new_paths,Automation Platform,Infrastructure Automation,Identity & Access Management,https://yourlearning.ibm.com/activity/PLAN-FD7397429298,https://learn.ibm.com/course/view.php?id=12406
