rank,score,badge_name,level_name,priority,l1_header,l2_category,l3_category,ibm_link,bp_link
97,10,IBM Power Systems Power10 Foundational,L1-Foundation,new_paths,Hybrid Cloud Platform,Power,,https://yourlearning.ibm.com/activity/PLAN-AA9D48C292F1,https://learn.ibm.com/course/view.php?id=11538
98,10,Power Virtual Server Sales Foundation,L1-Foundation,new_paths,Hybrid Cloud Platform,Public Cloud Platform,,https://yourlearning.ibm.com/activity/PLAN-4E64FE2FDBF0,https://learn.ibm.com/course/view.php?id=11419
99,10,RISE with SAP on IBM Power Virtual Server Sales Foundation,L1-Foundation,new_paths,Hybrid Cloud Platform,Public Cloud Platform,,https://yourlearning.ibm.com/activity/PLAN-B8A94BA9AD63,https://learn.ibm.com/course/view.php?id=17913
100,10,Cloud Native Sales Foundation,L1-Foundation,new_paths,Hybrid Cloud Platform,Public Cloud Platform,,https://yourlearning.ibm.com/activity/PLAN-B963C7F8C591,https://learn.ibm.com/course/view.php?id=17987
101,10,Virtual Private Cloud and VMware Optimization Sales Foundation,L1-Foundation,new_paths,Hybrid Cloud Platform,Public Cloud Platform,,https://yourlearning.ibm.com/activity/PLAN-4D372F304867,https://learn.ibm.com/course/view.php?id=18136
102,10,AI on IBM Cloud Sales Foundation,L1-Foundation,new_paths,Hybrid Cloud Platform,Public Cloud Platform,,https://yourlearning.ibm.com/activity/PLAN-60F46BBF8476,https://learn.ibm.com/course/view.php?id=18168
103,10,IBM Fusion Sales Foundation,L1-Foundation,new_paths,Hybrid Cloud Platform,Storage,,https://yourlearning.ibm.com/activity/PLAN-9961AD0E5996,https://learn.ibm.com/course/view.php?id=5991
104,10,Storage for Data Resilience Sales Foundation,L1-Foundation,new_paths,Hybrid Cloud Platform,Storage,,https://yourlearning.ibm.com/activity/PLAN-F28AC3ADBA96,https://learn.ibm.com/course/view.php?id=9990
105,10,IBM Tape for Enterprise Storage Sales Foundation,L1-Foundation,new_paths,Hybrid Cloud Platform,Storage,,https://yourlearning.ibm.com/activity/PLAN-5B29B7A48167,https://learn.ibm.com/course/view.php?id=10229
106,10,Storage for IBM Z Sales Foundation V2,L1-Foundation,new_paths,Hybrid Cloud Platform,Storage,,https://yourlearning.ibm.com/activity/PLAN-7F2C21006BA5,https://learn.ibm.com/course/view.php?id=9857
